score,category,keyword,volume,kd,cpc,variants
115.1,how-to-block,how to reduce cough at night,12100,4,0.37,1
114.7,prayers,pray how to,18100,27,9.86,1
114.7,how-to-other,how to pray,18100,27,9.86,1
114.7,how-to-other,how to turn passcode off iphone,14800,4,0.16,2
114.7,bible-verses,scriptures for love,12100,2,1.84,1
114.6,prayers,lay me down to sleep prayer,18100,10,0.19,2
114.6,how-to-block,how to reduce cortisol level,18100,17,1.03,3
114.5,parental,bark app,14800,23,2.39,11
114.4,bible-verses,bible scriptures for graduation,14800,5,0.49,1
114.3,prayers,roman catholic morning prayer,22200,18,1.29,1
114.3,catholic,lent meaning,22200,33,9.28,4
114.1,how-to-block,how to stop the itching from mosquito bites,14800,10,0.22,1
114.1,other,quotes about easter in the bible,8100,10,12.48,1
114.0,how-to-block,how to stop dripping nose,27100,27,0.99,1
114.0,bible-verses,biblical verses about christmas,18100,16,2.88,1
114.0,how-to-other,how to turn read receipts off,14800,4,0.0,1
113.9,how-to-block,how to block anonymous calls iphone,18100,18,1.37,2
113.8,prayers,chaplet of divine mercy rosary,49500,36,1.07,2
113.3,verse-display,scripture verse of the day kjv,22200,37,9.23,1
113.2,prayers,bible how to pray verse,18100,13,1.24,1
113.1,addiction,how to stop addiction to ponography,18100,27,3.81,1
112.9,bible-verses,bible quotes about worrying,12100,2,1.45,1
112.8,bible-verses,scripture about death,14800,8,1.42,1
112.8,bible-verses,scriptures for death,14800,8,1.42,1
112.5,prayers,before i lay me down to sleep prayer,18100,11,0.19,1
112.5,competitors,cold turkey,12100,24,4.21,4
112.3,how-to-other,how to break fever,18100,12,0.59,2
112.2,how-to-other,how to turn do not disturb off,27100,23,0.84,1
112.2,competitors,hallow app,22200,35,2.66,15
112.2,prayers,pray divine chaplet,14800,6,0.44,1
111.7,bible-verses,biblical scriptures for marriage,12100,2,1.17,1
111.7,other,quotes from bible about family,12100,1,0.76,2
111.6,prayers,prayers to pray for healing,90500,40,0.76,1
111.4,catholic,what bible does catholic church use,12100,6,1.56,2
111.3,other,ice blocker app,27100,22,0.15,1
111.3,bible-verses,scripture about depression,14800,9,1.54,1
111.0,bible-verses,scripture about friends,12100,1,0.6,1
111.0,verse-display,bible verse of the day strength,9900,9,3.07,2
110.5,prayers,i pray the lord my soul to keep prayer,18100,12,0.19,1
109.8,other,verse in the bible about strength and healing,14800,10,1.64,1
109.7,how-to-block,how to reduce mb of pdf,22200,28,3.17,1
109.5,bible-verses,bible quotes about thanksgiving,18100,14,0.87,1
109.5,parental,how to add parental control on iphone,8100,11,3.07,1
109.4,bible-verses,bible passages about love,165000,43,2.35,1
109.3,how-to-block,how to turn off private browsing,27100,29,1.06,2
109.3,prayers,7 sorrows chaplet,18100,15,1.28,1
109.2,how-to-other,how to prayer the holy rosary,74000,41,0.89,1
109.2,how-to-other,how to pray a rosary,74000,41,0.89,20
109.2,prayers,how pray rosary,74000,41,0.89,15
109.2,how-to-other,how do we pray the rosary,74000,41,0.89,1
109.2,how-to-other,how to say a rosary,74000,41,0.89,1
109.2,bible-verses,bible verse about iron sharpens iron,18100,14,0.8,1
109.2,blocker-tools,productivity app,14800,37,8.23,7
109.2,other,life app study bible,14800,8,0.61,1
109.2,bible-verses,bible scriptures for friends,12100,2,0.6,1
109.2,blocker-tools,pomodoro rosso restaurant,5400,3,2.75,1
109.2,blocker-tools,pomodoro rosso nyc,5400,3,2.75,1
108.9,bible-verses,bible scripture about death,14800,10,1.42,1
108.9,audiences,christian marriage counselor near me,8100,4,7.01,2
108.8,how-to-block,how to reduce ldl cholesterol,49500,43,2.23,2
108.8,bible-study,bible study for ladies,12100,3,0.93,1
108.5,prayers,when is maghrib prayer today,6600,7,14.69,1
108.2,bible-verses,bible quotes about inspiration,12100,8,2.98,1
108.1,prayers,good night prayer,14800,8,0.36,4
107.5,prayers,prayer to heal a friend,12100,2,0.23,1
107.4,prayers,prayers for salvation,12100,5,1.43,1
107.4,blocker-tools,pomodoro rosso,5400,4,2.75,1
107.0,bible-verses,bible verses on prayer,18100,16,1.24,3
107.0,prayers,prayers for request,18100,26,6.91,5
106.9,prayers,nice morning prayer,18100,14,0.27,1
106.6,how-to-block,how to stop nose running,27100,30,0.99,1
106.4,other,passages in the bible about love,165000,44,2.35,2
106.3,prayers,time for subuh prayer,60500,43,1.59,1
106.3,audiences,christian dior bags for women,12100,4,0.76,1
106.2,adult-blocking,truple,5400,4,0.68,3
106.1,how-to-other,how to force quit applications in mac,18100,14,0.1,3
105.9,bible-verses,bible verse about strength and healing,14800,12,1.64,2
105.9,prayers,prayer to holy ghost,12100,3,0.25,2
105.9,audiences,christian dior shoes women,12100,4,0.67,3
105.5,bible-verses,bible verses on loving your neighbor,12100,4,0.57,1
105.2,bible-verses,bible verse about iron sharpening iron,18100,16,0.8,1
104.6,other,what does the christian bible say about suicide,14800,9,0.0,1
104.6,catholic,catholic bible which version,12100,9,1.28,1
104.4,devotionals,in touch ministries daily devotional,9900,20,16.32,1
104.2,how-to-other,how to forcefully quit application on mac,18100,15,0.1,1
104.1,bible-verses,scriptures for hope,12100,9,2.4,1
104.1,blocker-tools,pomodoro trattoria los angeles ca,5400,2,1.08,1
104.1,blocker-tools,pomodoro trattoria,5400,2,1.08,1
104.1,blocker-tools,pomodoro trattoria los angeles,5400,2,1.08,1
103.9,bible-verses,bible passages about friendship,12100,5,0.6,1
103.9,catholic,what bible do catholic churches use,12100,10,1.56,1
103.9,bible-verses,scriptures for wisdom,9900,1,1.48,1
103.8,blocker-tools,pomodoro cafe,5400,10,4.66,1
103.6,bible-verses,what does scripture say about tattoos,18100,17,0.91,2
103.6,other,what does the holy bible say about tattoos,18100,17,0.91,1
103.6,bible-verses,what does the bible say about tattoos,18100,17,0.91,2
103.6,other,what does the the bible say about tattoos,18100,17,0.91,3
103.6,how-to-other,how to remove page break word,12100,4,0.12,5
103.3,bible-verses,what does the bible say about abortion,9900,5,3.05,2
103.2,bible-verses,bible verses on healing prayer,9900,1,1.3,1
103.0,blocker-tools,chrome site blocker extension,8100,16,1.94,7
102.9,parental,parental control roblox,18100,32,2.17,3
102.9,catholic,lent 2026 dates,9900,1,0.03,1
102.8,parental,bark parental control app,9900,18,2.21,3
102.3,prayers,novena,18100,20,2.08,4
102.1,other,app control parental,40500,44,6.78,4
102.1,bible-verses,scriptures for friends,12100,6,0.6,1
102.0,bible-verses,bible quotes about being patient,14800,13,1.15,1
102.0,blocker-tools,pomodoro café,5400,11,4.66,1
101.7,how-to-block,how to reduce cortisol naturally,14800,17,0.58,1
101.3,bible-verses,scripture about holy spirit,9900,2,1.23,2
101.3,bible-verses,scriptures for holy spirit,9900,2,1.23,1
101.0,prayers,prayer to st michael's,22200,22,0.22,1
101.0,bible-verses,bible passages about marriage,12100,8,1.17,1
101.0,blocker-tools,site blocker for chrome,8100,20,3.49,5
100.8,audiences,study bible for women,9900,1,0.72,2
100.8,other,study bible for woman,9900,1,0.72,1
100.6,prayers,healing prayers for friend,12100,6,0.23,10
100.5,how-to-other,how to pray a rosary catholic,74000,44,0.89,6
100.3,catholic,what bible roman catholic use,12100,12,1.56,4
100.2,other,reading the bible in a year plan,22200,27,2.71,6
99.7,audiences,women christian louboutin shoes,12100,8,0.85,4
99.5,bible-verses,bible quotes about tattoos,9900,1,0.39,1
99.5,audiences,christian counseling marriage,9900,21,11.01,12
99.4,verse-display,verse of the day about strength,9900,22,7.04,1
99.4,verse-display,verse of the day strength,9900,22,7.04,1
99.3,bible-verses,scriptures for thanksgiving day,14800,15,1.42,1
99.1,how-to-block,how to block no,22200,29,1.1,2
99.0,audiences,what does it say in the bible about marriage,9900,7,2.83,1
98.9,other,ldl cholesterol how to reduce,49500,43,2.23,1
98.4,prayers,prayer to st raphael archangel,9900,1,0.12,2
98.3,bible-verses,bible verses on healing and strength,14800,16,1.64,4
98.3,how-to-block,how to reduce coughing at night,12100,13,0.37,1
98.2,prayers,prayer when sick,12100,9,0.92,1
98.1,other,what does god say about divorce in the bible,12100,12,2.27,1
97.8,how-to-block,how to reduce pdf file size,22200,33,3.17,15
97.7,platform,add on blocker chrome,27100,33,3.04,1
97.4,catholic,catholic translation bible,12100,13,1.28,8
97.4,prayers,good evening prayer,9900,2,0.26,2
97.3,bible-verses,scripture about iron sharpens iron,18100,20,0.8,1
97.0,prayers,night time prayer catholic,9900,3,0.56,2
97.0,devotionals,daily bible devotional for men,9900,9,3.21,1
97.0,devotionals,men's devotional daily,9900,9,3.21,2
97.0,prayers,prayer for tonight catholic,9900,3,0.56,1
96.9,how-to-block,how to block numbers,22200,30,1.1,1
96.9,how-to-other,how to break up someone,12100,8,0.17,3
96.4,bible-verses,scripture about fasting,9900,4,0.81,1
96.4,bible-verses,scriptures for fasting,9900,4,0.81,1
96.4,bible-verses,scripture about love,8100,2,2.56,1
96.3,bible-verses,bible verses on tattoos,9900,3,0.39,1
96.3,audiences,mormon church leaders,4400,2,12.07,3
96.1,parental,how to put parental control on iphone,8100,18,3.07,3
95.9,how-to-block,how to stop hulu subscription,18100,29,2.91,1
95.9,audiences,christian dior bag for women,12100,10,0.76,1
95.8,prayers,prayer when fasting,8100,6,4.2,1
95.8,prayers,gratitude prayer to god,6600,6,7.24,1
95.7,how-to-block,how to reduce cholesterol naturally,27100,34,0.67,3
95.6,bible-verses,what does the bible say about suicide,14800,14,0.0,1
95.6,other,what does the holy bible say about suicide,14800,14,0.0,1
95.4,prayers,night catholic prayer,9900,4,0.56,9
95.4,prayers,prayer at night catholic,9900,4,0.56,2
95.4,prayers,nightly catholic prayer,9900,4,0.56,1
95.3,how-to-block,how to stop cortisol,18100,26,1.03,1
95.2,other,study guide for bible,27100,31,1.13,4
95.2,bible-study,study guide for bible study,27100,31,1.13,1
95.2,how-to-block,how to reduce blood pressure high,18100,27,1.55,3
95.2,prayers,good night time prayer,14800,15,0.36,2
95.1,bible-verses,bible quotes about loving your neighbor,12100,10,0.57,1
95.0,devotionals,daily devotional jesus calling,22200,26,0.78,4
95.0,devotionals,jesus calling daily devotional book,22200,26,0.78,1
94.7,how-to-block,how to reduce elevated blood pressure,18100,27,1.4,1
94.5,how-to-other,how to break high fever,18100,21,0.59,2
94.4,prayers,prayer to st joseph,12100,10,0.38,1
94.3,how-to-other,how to get over w break up,9900,6,1.11,1
94.2,prayers,short prayer for today,6600,10,8.95,1
94.1,parental,aura parental control app,3600,9,9.68,1
94.0,bible-verses,bible scripture about patience,8100,3,2.31,1
93.8,devotionals,daily devotional by joyce meyer,12100,25,8.43,2
93.8,devotionals,daily devotional from joyce meyer,12100,25,8.43,1
93.8,how-to-block,how to turn off browser pop up blocker on chrome,9900,11,0.79,1
93.8,prayers,novena mother perpetual help,5400,1,7.13,7
93.8,prayers,our lady of perpetual help prayer novena,5400,1,7.13,1
93.7,bible-verses,what does scripture say about love,8100,2,1.82,2
93.6,catholic,catholic study bible ignatius,12100,15,1.23,3
93.6,competitors,cold turkey blocker,4400,7,4.16,1
93.5,competitors,opal app,6600,18,4.1,6
93.5,competitors,opal mobile app,6600,18,4.1,1
93.3,bible-verses,scripture about hope,12100,15,2.4,1
93.3,devotionals,joyce meyer daily devotional today,5400,6,9.65,3
93.1,prayers,prayers for sick,12100,12,0.92,3
93.1,prayers,prayers for sickness,12100,12,0.92,1
93.1,prayers,prayers to pray for the sick,12100,12,0.92,1
93.0,blocker-tools,chrome website blocker,8100,24,3.49,4
92.9,bible-verses,what does the bible say about forgiveness,8100,6,3.35,1
92.9,bible-verses,bible quotes about love and strength,6600,5,5.8,2
92.7,bible-verses,what does the bible say about drinking liquor,8100,1,1.12,1
92.7,bible-verses,what does the bible say about consuming alcohol,8100,1,1.12,1
92.7,other,what does it say in the bible about drinking alcohol,8100,1,1.12,1
92.7,bible-verses,what does the bible say about drinking alcohol,8100,1,1.12,2
92.5,prayers,morning prayer today,22200,29,1.76,7
92.5,prayers,catholic our father prayer,9900,5,0.22,6
92.0,bible-verses,bible quotes about passing away,14800,19,1.42,1
91.9,bible-verses,scripture about fear,8100,3,1.74,1
91.7,platform,advertisement blocker chrome,27100,35,2.63,1
91.7,bible-verses,bible quotes about couples,8100,1,0.86,1
91.6,prayers,good night christian prayer,14800,17,0.36,3
91.6,bible-verses,bible passages about tattoos,9900,6,0.39,1
91.5,audiences,abeka homeschool books,9900,12,3.08,1
91.5,bible-verses,bible scripture about forgiving others,6600,1,3.48,1
91.5,blocker-tools,il pomodoro,4400,4,1.23,1
91.3,prayers,divine mercy chaplet youtube,12100,11,0.0,7
91.3,prayers,divine chaplet youtube,12100,11,0.0,1
91.3,bible-verses,what does the bible say about sex,4400,1,9.56,1
91.3,bible-verses,what does the bible say about sexual intercourse,4400,1,9.56,1
91.2,other,free std screen,33100,43,5.56,1
91.2,prayers,what are the prayer times for today,22200,40,9.26,1
91.2,bible-verses,what does the bible say about alcohol,8100,2,1.12,1
91.2,bible-verses,what does the bible say about alcohol consumption,8100,2,1.12,1
91.1,bible-verses,what does scripture say about divorce,12100,16,2.27,1
91.1,other,what does the holy bible say about divorce,12100,16,2.27,1
91.1,bible-verses,what does the bible say about divorce,12100,16,2.27,1
91.1,how-to-other,how to get over break up,9900,8,1.11,3
91.1,how-to-other,how to get over from break up,9900,8,1.11,2
91.1,other,break up how to get over,9900,8,1.11,1
91.0,audiences,christian dior women perfume,12100,14,1.28,3
91.0,blocker-tools,site blocker iphone,5400,13,2.52,3
90.8,audiences,math programs for homeschool,27100,37,3.72,1
90.8,prayers,our mother of perpetual help novena,5400,3,7.13,3
90.7,verse-display,kjv verse of the day,14800,33,5.52,2
90.7,how-to-other,how to break puppy from biting,9900,9,1.43,1
90.5,how-to-other,how to pray god,6600,6,5.52,9
90.5,how-to-other,how do we pray to god,6600,6,5.52,2
90.5,prayers,how pray to god,6600,6,5.52,2
90.5,verse-display,random verse of the day,5400,19,53.72,1
90.4,competitors,cold turkey block,4400,9,4.16,1
90.3,blocker-tools,pomodoro pasta recipes,5400,8,0.07,3
90.2,prayers,prayer journal,9900,8,0.86,9
90.1,audiences,monarch homeschool,8100,7,2.99,2
90.0,bible-verses,verses on fasting in the bible,9900,8,0.81,1
89.8,other,what does it say about forgiveness in the bible,8100,8,3.35,1
89.7,bible-verses,what does the bible say about drinking,8100,3,1.12,1
89.5,prayers,read the rosary,40500,41,0.83,1
89.5,how-to-block,how to reduce your ldl,33100,43,2.37,1
89.3,prayers,prayer to thank god,6600,10,7.24,4
89.3,audiences,kindergarten homeschool programs,6600,8,6.14,1
89.1,prayers,bible prayers for healing and strength,14800,21,1.64,1
89.1,prayers,roman catholic night prayer,9900,8,0.56,1
89.1,other,pastors daughters,8100,3,0.95,1
88.9,how-to-other,how to pdf file reduce size,22200,33,3.17,2
88.8,prayers,catholic prayer deceased,8100,7,2.59,4
88.7,bible-verses,bible verses for today kjv,22200,41,9.23,1
88.7,prayers,prayer catholic morning,22200,30,1.29,16
88.7,parental,how to set parental control on iphone,8100,22,3.07,1
88.6,audiences,homeschool picker,8100,1,0.0,2
88.5,catholic,roman catholic devotion,12100,18,1.27,1
88.4,how-to-block,how to reduce fever,12100,20,1.06,3
88.3,bible-verses,bible scriptures for a funeral,9900,9,0.76,2
88.0,bible-verses,scriptures for heartbreak,8100,4,1.06,1
88.0,bible-verses,bible quotes about broken heart,8100,4,1.06,2
87.9,blocker-tools,how block websites,6600,21,3.05,13
87.8,prayers,prayers for saint joseph,12100,14,0.38,1
87.8,prayers,monday morning prayer,6600,1,2.37,5
87.7,adult-blocking,internet accountability software,2400,8,8.73,4
87.6,prayers,nighttime prayer catholic,9900,9,0.56,2
87.5,how-to-other,how to break puppy of biting,9900,11,1.43,1
87.5,catholic,what version of the bible do catholic churches use,6600,1,1.03,1
87.5,catholic,what bible version do roman catholic use,6600,1,1.03,1
87.3,catholic,things to sacrifice for lent,8100,5,0.07,1
87.2,prayers,short powerful morning prayer,8100,11,4.02,1
87.1,bible-verses,what does the bible say about gambling,8100,2,0.0,1
87.0,prayers,prayer catholic church,40500,42,0.8,8
87.0,how-to-other,how to naturally reduce cholesterol,27100,34,0.67,1
86.9,blocker-tools,pomodoro restaurant durham,5400,12,0.88,1
86.9,blocker-tools,pomodoro italian kitchen durham,5400,12,0.88,1
86.9,blocker-tools,pomodoro italian kitchen,5400,12,0.88,1
86.9,bible-verses,what does the bible say about intercourse,4400,4,9.56,1
86.8,bible-verses,scripture about confidence,6600,2,2.49,1
86.7,how-to-block,how to reduce cholesterol in 7 days,27100,40,2.02,1
86.7,other,cortisol how to reduce,18100,26,1.03,1
86.7,prayers,short prayer for healing and recovery for someone,9900,11,1.21,1
86.7,prayers,morning prayer friday,5400,2,5.24,5
86.6,how-to-block,how to reduce fever temperature,12100,21,1.06,1
86.6,bible-verses,bible scriptures for inspiration,9900,14,2.58,1
86.5,how-to-block,how to reduce diastolic blood pressure,14800,27,1.68,2
86.4,blocker-tools,how to block websites on phone,4400,12,3.4,4
86.3,bible-verses,scripture about marriage and love,8100,5,0.98,2
86.3,audiences,quotes from the bible about love and marriage,8100,5,0.98,1
86.3,bible-verses,bible passages about love and marriage,8100,5,0.98,1
86.3,parental,parental control computer software,6600,21,4.61,1
86.2,prayers,prayer for thanks to the lord,6600,12,7.24,1
86.2,competitors,cold turkey meaning,6600,14,0.0,1
86.1,blocker-tools,digital wellbeing,9900,29,1.65,7
86.1,parental,qustodio parental control app,8100,32,8.73,1
85.8,catholic,give up something for lent,8100,6,0.07,1
85.7,bible-verses,bible passages about forgiving others,6600,5,3.48,1
85.7,bible-verses,bible passages about the birth of jesus,3600,3,12.09,2
85.6,platform,block chrome websites,8100,11,3.49,1
85.6,how-to-other,how to calculate limit,4400,9,18.68,2
85.5,how-to-block,how to reduce swollen feet,12100,21,0.72,1
85.3,how-to-other,how to turn pop up blocker off chrome,9900,11,0.79,4
85.0,how-to-block,how to stop bloody noses,14800,25,0.16,1
84.9,how-to-block,how to delete google accounts,33100,44,1.75,2
84.7,other,quotes in bible about family,6600,1,1.43,1
84.3,how-to-block,how to reduce triglycerides,9900,19,1.9,1
84.1,catholic,lent fasting,8100,7,0.0,4
84.0,prayers,prayer good morning,18100,26,0.27,6
84.0,prayers,good morning christian prayer,18100,26,0.27,2
84.0,devotionals,joel osteen daily devotional,12100,22,3.28,4
84.0,devotionals,daily devotional by joel osteen,12100,22,3.28,1
84.0,devotionals,joel osteen ministries daily devotional,12100,22,3.28,1
84.0,devotionals,pastor joel osteen daily devotional,12100,22,3.28,1
83.9,how-to-block,how to block a contact,22200,36,1.1,1
83.8,prayers,saint joseph novena,9900,27,9.44,2
83.8,how-to-other,how to undo pop up blocker on chrome,9900,12,0.79,1
83.6,how-to-block,how to quit ipad apps,8100,10,0.0,2
83.5,verse-display,verse of the day inspirational,9900,35,10.89,2
83.5,verse-display,inspiration verse of the day,9900,35,10.89,1
83.5,verse-display,inspiring verse of the day,9900,35,10.89,2
83.4,catholic,devotion catholic,12100,21,1.27,5
83.4,verse-display,cute christian wallpaper,5400,1,0.06,2
83.3,devotionals,daily devotional by max lucado,6600,5,2.71,1
83.2,prayers,islamic how to pray,5400,14,10.57,1
82.9,how-to-block,how to stop hiccups in newborns,14800,26,0.08,1
82.6,bible-verses,what does the bible say about marriage,9900,17,2.83,1
82.6,audiences,what does the holy bible say about marriage,9900,17,2.83,1
82.6,bible-verses,don t worry about tomorrow scripture,8100,21,8.11,2
82.6,catholic,can you eat chicken during lent,6600,2,0.0,1
82.3,bible-verses,scripture about marriage,6600,2,1.11,1
82.2,bible-verses,bible quotes about good friends,6600,1,0.68,1
82.1,bible-verses,bible scripture about faith,6600,10,4.7,1
82.0,how-to-block,how to reduce swelling feet,12100,23,0.72,4
82.0,how-to-block,how to reduce swell in feet,12100,23,0.72,1
82.0,bible-verses,bible scripture about love and marriage,8100,8,0.98,1
82.0,bible-verses,bible quotes about strength,6600,5,2.3,1
81.8,bible-verses,bible quotes about death of loved ones,6600,2,0.95,1
81.7,how-to-block,how to reduce inflammation.in the body,14800,29,1.34,4
81.7,how-to-block,how to reduce inflammation inside the body,14800,29,1.34,1
81.7,blocker-tools,how to block websites on mobile,4400,15,3.4,1
81.6,bible-verses,bible scriptures for fear,8100,10,1.74,1
81.5,how-to-block,how to reduce the belly fat fast,27100,43,2.56,1
81.5,prayers,praying divine mercy chaplet,14800,23,0.44,1
81.5,how-to-other,how to determine infinite limit,8100,6,0.0,3
81.2,platform,remove pop up blocker from chrome,8100,8,0.74,1
81.1,bible-verses,bible verses for gratefulness,14800,26,1.9,1
81.1,bible-verses,bible verses on thankfulness and gratitude,14800,26,1.9,1
80.9,how-to-block,how to quit planet fitness,8100,17,2.41,1
80.9,devotionals,today's daily devotional joyce meyer,5400,14,9.65,1
80.6,bible-verses,scripture about healing kjv,6600,5,1.86,1
80.4,bible-verses,bible quotes about loved ones dying,6600,3,0.95,1
80.2,bible-verses,bible quotes about lying,6600,1,0.09,1
80.1,catholic,catholic bible version,12100,23,1.28,14
80.1,prayers,prayer when travelling,6600,1,0.05,1
80.1,prayers,prayer when traveling,6600,1,0.05,1
80.0,how-to-other,how to pray to god christian,6600,13,5.52,1
79.8,platform,deactivate pop up blocker chrome,8100,9,0.74,1
79.8,audiences,preschool program homeschool,6600,9,3.42,1
79.6,prayers,st therese novena,6600,3,0.69,4
79.5,bible-verses,bible passages about trusting god,14800,27,1.95,1
79.5,prayers,international house of prayer app,6600,4,1.07,1
79.4,prayers,prayer before operation,8100,8,0.19,2
79.4,bible-verses,scripture about worrying,6600,4,1.05,1
79.3,bible-verses,scripture about protection,6600,3,0.59,1
79.1,bible-verses,marriage bible quotes about love,8100,10,0.98,3
79.1,how-to-other,how to break in a baseball mitt,6600,2,0.14,1
78.9,prayers,my father prayer catholic,9900,14,0.22,1
78.8,how-to-other,how to fever reduce,12100,21,1.06,1
78.8,bible-verses,scriptures for good friday,8100,8,0.0,1
78.7,bible-verses,bible scriptures for spiritual warfare,8100,10,0.85,1
78.6,how-to-other,how to naturally reduce cortisol,14800,25,0.58,1
78.4,other,creatinine level how to reduce,12100,21,0.94,1
78.4,catholic,catholic study bible,8100,13,0.89,4
78.3,bible-verses,what does the bible say about homosexually,22200,35,1.13,1
78.3,other,what does the christian bible say about homosexuality,22200,35,1.13,1
78.3,bible-verses,what does the bible say about homosexuality,22200,35,1.13,1
78.2,bible-verses,scriptures for palm sunday,9900,14,0.0,1
78.1,prayers,prayers for the bible,12100,21,0.84,1
78.1,parental,iphone parental control,9900,34,4.17,46
78.1,audiences,marriage christian counseling near me,8100,22,7.01,2
78.1,adult-blocking,accountability partner,1900,8,8.76,8
78.0,other,app productivity,14800,37,8.23,5
78.0,bible-verses,scriptures for lovers,12100,23,1.84,1
78.0,other,what does bible say about the antichrist,5400,1,1.89,1
78.0,bible-verses,what does the bible say about antichrist,5400,1,1.89,2
77.9,catholic,what bible version does the catholic church use,6600,8,1.03,2
77.8,prayers,prayer to the dead,8100,10,0.56,1
77.8,other,spiritual discipline,5400,7,4.52,5
77.5,catholic,catholic bible how many books,9900,17,0.0,19
77.5,how-to-other,how to make tomato concentrate,9900,15,0.26,1
77.4,catholic,catholic lent,6600,10,1.76,10
77.3,prayers,prayer before meal time,14800,25,0.15,1
77.2,verse-display,free screen wallpaper computer,9900,29,4.0,2
77.0,platform,pop up blocker disable chrome,8100,11,0.74,8
76.8,bible-verses,bible passages about the bible,22200,43,6.42,1
76.6,devotionals,upper room devotional for today,12100,32,6.98,2
76.5,bible-verses,bible quotes about death of loved one,6600,6,0.95,1
76.3,audiences,christian shirt men,9900,19,1.79,6
76.3,prayers,islamic prayer how to pray,5400,8,4.47,1
76.2,catholic,examination of conscience catholic,9900,19,0.51,2
76.2,catholic,roman catholic examination of conscience,9900,19,0.51,1
76.0,how-to-block,how to turn off pop up blocker chrome,9900,22,0.79,5
76.0,how-to-block,how to disable pop up blocker in chrome browser,9900,22,0.79,1
75.8,devotionals,david jeremiah turning point daily devotional,8100,11,0.35,1
75.8,bible-verses,scripture about divorce,6600,7,1.15,1
75.8,adult-blocking,accountability software,2400,16,8.73,5
75.7,prayers,saint therese novena,6600,6,0.69,1
75.7,other,pastors definition,4400,5,5.74,1
75.2,bible-verses,bible verse quotes about strength,6600,10,2.3,1
75.0,devotionals,daily devotional max lucado,6600,11,2.71,2
75.0,devotionals,women's daily devotional,5400,4,2.14,2
74.9,bible-verses,bible scripture about the rapture,6600,7,0.85,1
74.7,bible-verses,biblical scripture about love,12100,25,1.84,1
74.7,audiences,what does god say about marriage in the bible,9900,22,2.83,1
74.7,other,what does it say in the bible about love,8100,15,1.82,1
74.5,catholic,lent season,8100,14,0.09,1
74.5,addiction,bible passages about addiction,5400,13,1.34,1
74.5,how-to-other,how to pray islamic prayer,5400,6,2.86,1
74.4,platform,ad blocker chrome ext,12100,26,2.28,1
74.4,how-to-block,how to disable pop up blocker chrome,9900,23,0.79,11
74.4,audiences,women christian conference,2900,5,28.03,3
74.3,prayers,prayer to heal sickness,6600,7,0.66,1
74.2,audiences,online homeschool class,14800,43,26.98,1
74.2,catholic,lent rules,8100,14,0.0,3
74.0,bible-verses,scripture quotes about family,6600,9,1.43,1
74.0,platform,mac how to force quit,6600,6,0.12,1
73.9,addiction,dopamine detox,18100,41,1.57,10
73.8,audiences,lds church leaders,4400,17,12.07,4
73.7,how-to-block,how to reduce diastolic pressure,14800,34,1.68,1
73.6,catholic,saint michael's lent,5400,3,0.03,1
73.4,other,capital one how to increase credit limit,3600,12,13.57,1
73.2,bible-study,yearly reading plan bible,12100,27,2.43,2
73.2,other,bible reading yearly plan,12100,27,2.43,1
72.9,how-to-other,how to break with someone,12100,23,0.17,1
72.8,bible-verses,bible passages about forgiveness,4400,6,5.09,1
72.6,bible-verses,bible passages about joy,8100,15,1.12,1
72.5,audiences,christian clothes men,6600,12,2.27,2
72.3,bible-verses,what does the bible say about tithing,5400,4,1.19,1
72.3,other,pastors of megachurches,5400,1,0.0,1
72.3,other,cash app borrow limit,2400,1,21.73,1
72.3,other,cash app borrowing limit,2400,1,21.73,1
72.2,blocker-tools,pomodoro technique for adhd,3600,9,0.0,1
71.9,catholic,catholic bible edition,12100,28,1.28,2
71.9,prayers,a prayer before dawn film,8100,14,0.39,1
71.9,prayers,anglican chaplet,5400,3,0.66,1
71.8,other,websites to block,5400,8,2.78,1
71.6,prayers,powerful night prayer,8100,15,0.75,1
71.6,other,how long does it take to quit a habit,5400,3,0.56,1
71.6,other,how long does.it take to break a habit,5400,3,0.56,2
71.5,prayers,prayer to sleep,8100,18,2.18,1
71.5,how-to-other,how to force quit,5400,2,0.11,2
71.5,bible-verses,what does the bible say about a woman preacher,4400,2,2.71,1
71.4,how-to-other,how to pray istikhara,3600,3,6.0,1
70.7,bible-study,365 day bible reading plan pdf free,3600,14,14.08,3
70.5,how-to-other,how do i disable pop up blocker chrome,9900,21,0.79,2
70.5,competitors,freedom wifi app,2400,4,3.3,1
70.4,addiction,doomscrolling meaning,9900,29,0.49,2
69.9,other,quotes in bible about strength,6600,14,2.3,5
69.9,catholic,lent fasting ash wednesday,5400,6,0.0,1
69.9,adult-blocking,apps that block porn,2400,18,7.37,2
69.7,platform,add ad blocker chrome,14800,35,3.38,1
69.7,bible-verses,bible scripture about marriage,12100,27,1.17,1
69.7,bible-verses,bible scriptures for marriage,12100,27,1.17,3
69.6,addiction,social media as an addiction,8100,41,14.25,1
69.3,audiences,homeschool abeka curriculum,9900,26,3.08,5
69.2,how-to-block,how to reduce sciatica pain,22200,43,0.91,1
69.2,how-to-block,how to reduce water weight,14800,36,1.34,1
69.2,bible-verses,what does the bible say about condemning others,4400,4,2.71,1
69.1,bible-verses,scripture about zacchaeus,6600,13,1.5,1
69.1,how-to-block,how to block the websites,6600,21,3.05,1
